IsPrivate,IsVerified,HasProfilePic,FollowingCount,FollowerCount,LikesCount,HasInstagram,HasYoutube,HasBio,HasLinkInBio,HasPosts,PostsCount,FollowToFollowerRatio,IsBot
0,0,1,674,25,0,0,0,0,0,0,0,26.96,1
0,0,1,25,0,0,0,0,1,0,0,0,0.0,1
1,0,1,87,82,0,0,0,0,0,0,0,1.0609756097560976,0
0,0,1,402,12,0,0,0,0,0,0,0,33.5,1
0,0,1,1258,47,0,0,0,0,0,0,0,26.76595744680851,1
0,0,1,78,0,0,0,0,0,0,0,0,0.0,1
0,0,1,37,32,680,1,1,0,0,1,20,1.15625,0
0,0,1,1280,51,14,0,0,0,0,1,1,25.098039215686278,0
0,0,1,839,601,247,1,0,1,0,0,0,1.3960066555740434,0
0,0,1,204,830,9702,1,0,1,0,1,20,0.2457831325301205,0
0,0,1,106,1,0,0,0,1,0,0,0,106.0,1
0,0,1,216,10,0,0,0,0,0,0,0,21.6,1
0,0,1,260,2,0,0,0,0,0,0,0,130.0,1
0,0,1,445,20,11,0,0,0,0,1,3,22.25,1
0,0,1,90,0,0,0,0,0,0,0,0,0.0,1
0,0,1,175,78,562,0,0,1,0,1,20,2.243589743589744,0
0,0,1,424,4,0,0,0,0,0,0,0,106.0,1
0,0,1,663,107,0,0,0,0,0,0,0,6.196261682242991,0
0,0,1,39,0,0,0,0,1,0,0,0,0.0,1
0,0,1,395,6,0,0,0,0,0,0,0,65.83333333333333,1
0,0,1,105,0,0,0,0,1,0,0,0,0.0,1
0,0,1,310,9980,12000,0,0,1,0,1,20,0.0310621242484969,0
0,0,1,805,40,1,0,0,1,0,1,3,20.125,1
0,0,0,0,8,0,0,0,0,0,0,0,0.0,1
0,0,0,0,0,0,0,0,1,0,0,0,0.0,1
0,0,1,49,85400,327200,1,1,1,0,1,20,5.737704918032E-4,0
0,0,1,114,0,0,0,0,1,0,0,0,0.0,1
0,0,1,27,5,2,0,0,0,0,1,3,5.4,0
0,0,1,511,17,0,0,1,0,0,0,0,30.058823529411764,1
1,0,1,132,0,0,0,0,0,0,0,0,0.0,0
0,0,1,479,6,0,0,0,0,0,0,0,79.83333333333333,1
0,0,1,67,0,0,0,0,1,0,0,0,0.0,1
0,0,0,0,5,0,0,0,1,0,0,0,0.0,1
0,0,1,94,0,0,0,0,1,0,0,0,0.0,1
0,0,1,852,15,34,0,0,0,0,1,15,56.8,0
1,0,1,10000,179,152,0,0,0,0,0,0,55.865921787709496,0
0,0,1,1646,3418,463,0,0,1,0,1,1,0.4815681685196021,1
