has_custom_cover_image,description_length,favourites_count,followers_count,friends_count,followers_to_friends_ratio,has_location,username_digit_count,username_length,statuses_count,is_verified,account_age_days,account_type
0,23,2583,108,0,108.0,1,0,13,5626,0,4181,1
0,9,2925,1541148,628,2450.155802861685,1,0,13,2619,1,3385,0
0,3,1325,25,851,0.029342723004694836,0,4,6,1807,0,4069,1
0,66,5023,101576,286,353.9233449477352,1,3,10,9728,0,3491,0
0,59,253,317,413,0.7657004830917874,1,2,10,3110,0,2076,1
0,7,0,164313,5577,29.457332377196128,1,0,15,36737,0,3809,0
0,47,0,916,0,916.0,0,0,15,3416,0,2063,1
0,86,708,179268,867,206.5299539170507,1,0,13,6130,1,3795,0
0,7,2404,61,28,2.103448275862069,1,3,6,3288,0,3813,1
0,159,3617,1437950,935,1536.2713675213674,0,2,7,300978,1,4117,1
0,126,5,197,7,24.625,1,0,12,14599,0,957,1
0,26,9557,205,702,0.29160739687055476,0,1,13,1916,0,2477,0
0,45,342,1491,158,9.377358490566039,0,0,9,4339,0,4311,0
0,7,772,65,114,0.5652173913043478,1,0,9,1281,0,776,0
0,119,42296,7235,3115,2.32188703465982,0,0,10,61631,0,3597,0
0,13,2492,16,0,16.0,1,0,12,3418,0,3303,1
0,7,564,24,57,0.41379310344827586,0,2,12,741,0,3026,1
0,42,1047,13,106,0.12149532710280374,0,3,9,241,0,1680,0
0,160,51376,13281,1858,7.144163528778914,1,0,8,54581,0,4397,0
0,155,1497,21046,3025,6.955056179775281,1,0,7,4616,1,3001,0
0,7,2152,7,27,0.25,0,0,13,3072,0,2949,1
0,7,71,4476,568,7.8664323374340945,1,0,11,52,0,3338,1
0,19,3069,1064,172,6.1502890173410405,0,0,9,73482,0,2872,1
0,80,21,31,4,6.2,0,0,15,3547,0,1620,1
0,160,16665,84574,2843,29.737693389592124,1,0,4,73412,1,5158,0
0,7,2479,47,166,0.281437125748503,1,1,5,3073,0,4225,1
0,14,87,1,0,1.0,0,2,15,413,0,1159,1
0,5,942,21,46,0.44680851063829785,1,4,9,366,0,1550,1
0,7,1301,56,25,2.1538461538461537,1,4,10,1826,0,1323,0
0,50,250,68745,0,68745.0,1,0,13,4857,0,2984,0
0,154,15985,13893,1506,9.218978102189782,1,0,12,21759,1,4051,0
0,63,4019,110,1112,0.09883198562443846,1,0,7,508,0,4085,0
0,159,18353,1077,2043,0.526908023483366,1,0,9,785,0,3879,0
0,7,1861,356,4412,0.08067074552458645,0,3,15,2611,0,2234,1
0,90,607,4254877,2668,1594.1839640314724,0,0,10,38105,1,4120,0
0,123,6464,103334,576,179.08838821490468,0,0,13,70123,1,4148,0
0,54,8888,680345,183,3697.5271739130435,1,0,11,6911,1,3109,0
0,17,3544,25,45,0.5434782608695652,0,0,11,3646,0,1750,1
0,27,160,26,131,0.19696969696969696,1,3,8,152,0,1167,0
0,161,17028,407,186,2.176470588235294,0,0,14,6880,0,1156,1
0,14,7338,4201705,885,4742.330699774267,0,1,5,14173,1,3403,0
0,124,58490,446,807,0.551980198019802,0,1,8,52732,0,4032,0
0,65,231,113181,297,379.8020134228188,1,0,12,8028,0,3454,0
0,29,2,4577055,1,2288527.5,1,0,9,1070,1,3837,0
0,62,2747,223,624,0.3568,1,0,14,5447,0,4072,1
0,10,114220,492,856,0.574095682613769,1,0,11,107091,0,2673,0
0,158,344286,1662199,924,1796.9718918918918,1,0,5,75456,1,5151,0
0,7,343,3,0,3.0,1,4,7,557,0,4149,1
0,7,148,168610,85,1960.5813953488373,0,0,12,8563,0,3118,0
0,122,8536,152,659,0.23030303030303031,1,0,13,4124,0,2883,0
0,21,11,56,0,56.0,1,0,9,256,0,3322,0
0,159,12587,73307,2850,25.7127323746054,1,0,6,43615,1,3837,0
0,30,1864,96,267,0.3582089552238806,1,0,9,3565,0,3847,0
0,106,1701,731524,302,2414.2706270627064,1,0,15,7196,1,2883,0
0,21,20877,8,265,0.03007518796992481,1,3,10,807,0,3446,1
0,50,7386,306,446,0.6845637583892618,1,0,9,24894,0,4043,0
0,68,601,27613,104,262.9809523809524,1,0,12,15912,1,3846,0
0,7,1951,6,43,0.13636363636363635,0,1,5,2633,0,2953,1
0,7,666,28,40,0.6829268292682927,1,1,10,910,0,2961,1
0,7,1876,43,0,43.0,1,0,6,2799,0,2595,1
0,56,428,173010,344,501.4782608695652,0,0,7,5020,1,2912,0
0,7,17019,96,145,0.6575342465753424,1,0,12,1381,0,2553,0
0,41,799,16,12,1.2307692307692308,1,2,11,1172,0,4415,1
0,20,46961,310,420,0.7363420427553444,1,0,7,11102,0,1859,0
0,161,14392,210561,6801,30.95574830932079,1,0,11,25776,1,4208,0
0,123,29970,1835,2570,0.7137300661221314,1,0,15,65537,0,3909,0
0,7,9677,24,81,0.2926829268292683,1,1,8,1246,0,1122,0
1,7,34,0,0,0.0,0,0,11,37,0,3425,1
0,25,62208,1672,389,4.287179487179487,1,0,9,161386,0,3465,0
0,67,49,31,142,0.21678321678321677,0,2,8,2034,0,1667,0
0,20,28461,512,355,1.4382022471910112,1,0,9,43205,0,2393,0
0,24,1105,57038,613,92.8957654723127,1,0,15,167326,1,2250,0
0,82,37745,96,383,0.25,0,0,15,1157,0,2538,0
0,7,3146,1032551,0,1032551.0,1,0,15,91,0,4083,0
0,79,1053,40,592,0.06745362563237774,1,2,14,1233,0,1200,1
0,165,20442,1630092,4946,329.5112189205579,1,0,10,68901,1,4205,1
1,7,1125,18,0,18.0,0,0,6,311,0,2557,0
0,159,7531,384,226,1.6916299559471366,1,4,6,41501,0,2909,0
0,89,1418,29739,545,54.467032967032964,1,0,11,1984,0,3549,0
0,26,179,48,104,0.45714285714285713,1,5,9,1245,0,4152,0
0,7,179,3508,150,23.2317880794702,0,0,11,490,1,2838,0
0,146,1651,1599,544,2.9339449541284406,1,0,10,737,0,3239,0
0,90,2196,143,381,0.3743455497382199,0,0,10,1892,0,2910,0
0,52,6327,18136,3,4534.0,1,0,10,610,1,3125,0
0,7,2472,3,44,0.06666666666666667,1,0,8,3145,0,4115,1
0,157,4901,1595,1249,1.276,1,0,14,6915,1,2535,0
0,39,1149,20126,264,75.94716981132075,1,0,10,2589,1,3925,0
0,94,6986,2605,628,4.141494435612083,1,0,13,9832,1,4135,0
0,20,990,20,135,0.14705882352941177,1,2,10,1177,0,4137,1
0,7,547,13,0,13.0,1,0,9,751,0,3204,1
0,104,94,606,106,5.663551401869159,1,0,15,1205,0,4174,0
0,7,1883,74,40,1.8048780487804879,0,0,10,509,0,722,0
0,7,1862,221,121,1.8114754098360655,1,2,10,3551,0,4085,0
0,12,14811,311,323,0.9598765432098766,1,3,14,19908,0,2874,1
0,7,2289,32,168,0.1893491124260355,0,2,9,3128,0,2878,1
0,53,179,5,0,5.0,0,1,12,28,0,3105,1
0,64,2359,23,69,0.32857142857142857,1,3,9,3663,0,3818,1
0,108,19868,83404,91815,0.9083819813540124,1,0,9,56015,0,3370,1
0,7,1950,48,126,0.3779527559055118,1,0,15,2937,0,3312,1
0,108,2771,198654,1114,178.16502242152467,1,0,7,52620,0,4855,0
0,128,6832,2313068,647,3569.5493827160494,1,0,8,2833,1,4121,0
0,104,17654,24444,1573,15.529860228716645,1,0,13,9160,1,3787,0
0,159,1813,720,435,1.651376146788991,1,0,15,2373,0,1099,0
0,4,340,28,407,0.06862745098039216,1,1,9,163,0,3675,1
0,103,1047,837019,25,32193.03846153846,1,0,11,2707,1,3975,0
0,4,1332,10,36,0.2702702702702703,0,0,11,1335,0,1463,1
0,154,35315,1033,890,1.159371492704826,1,0,10,42784,0,2890,0
0,7,845,18,27,0.6428571428571429,0,3,10,1402,0,4150,0
0,140,25,0,0,0.0,0,2,15,197,0,1155,1
0,21,1074,104,278,0.3727598566308244,1,2,8,6216,0,2796,0
